SiteID;SiteName;Elevation;Longitude;Latitude;SiteCode;FullSiteCode
200;Sciffra;780;15.7446246903733;40.5703885563211;200;OD:200
201;Sellata_C.C.;1200;15.783114035123;40.5340002113642;201;OD:201
202;Senise;330;16.281538109701;40.1506786087146;202;OD:202
203;Stigliano;908;16.2273575423482;40.397585970694;203;OD:203
204;Teana;800;16.1486234794976;40.1340069241092;204;OD:204
205;Terra_Montonata;11;16.7528726405766;40.3047164959594;205;OD:205
206;Terranova_di_Pollino;930;16.3037065363849;39.9804455321647;206;OD:206
207;Tolve;568;16.0289716683426;40.6981327723068;207;OD:207
208;Torre_Accio;140;16.6484426711749;40.4034744433357;208;OD:208
209;Tramutola;654;15.7739768237722;40.3252638513279;209;OD:209
210;Trecchina;500;15.7831089648618;40.0173284562678;210;OD:210
211;Tricarico;698;16.1486315605147;40.6173450811798;211;OD:211
212;Tursi;348;16.4801779065349;40.2472024190085;212;OD:212
213;Vaglio_di_Lucania;933;15.9160305896238;40.6673383418166;213;OD:213
214;Valsinni;250;16.431066875525;40.1673513370577;214;OD:214
215;Venusio_Scalo;338;16.5639946024;40.7340293960317;215;OD:215
216;Vietri;421;15.5175103774318;40.5950069419606;216;OD:216
217;Viggianello;512;16.0821639726076;39.9673364679356;217;OD:217
218;Viggiano;1023;15.8827978294509;40.3340008316647;218;OD:218
