codiciSensori;nomiSensori;nomeStaz;codeStaz
62691;Velocità Vento Scalare;Lavello;418100
62692;Direzione Vento Raffica;Lavello;418100
62693;Velocità Vento Raffica;Lavello;418100
39132;Incrementi di Pioggia;Lavello ETG;528600
39133;Temperatura Aria;Lavello ETG;528600
53605;Pioggia 1h;Lavello ETG;528600
53606;Pioggia 3h;Lavello ETG;528600
53607;Pioggia 6h;Lavello ETG;528600
53608;Pioggia 12h;Lavello ETG;528600
53609;Pioggia 24h;Lavello ETG;528600
30639;Pioggia Cumulata;Maratea Massa;331900
30640;Temperatura Aria;Maratea Massa;331900
30641;Radiazione Solare Diretta;Maratea Massa;331900
30642;Radiazione Solare Riflessa;Maratea Massa;331900
30643;Umidità Relativa;Maratea Massa;331900
51053;Pioggia 1h;Maratea Massa;331900
51054;Pioggia 3h;Maratea Massa;331900
51055;Pioggia 6h;Maratea Massa;331900
51056;Pioggia 12h;Maratea Massa;331900
51057;Pioggia 24h;Maratea Massa;331900
59575;Direzione Vento Vettoriale;Maratea Massa;331900
59576;Velocità Vento Vettoriale;Maratea Massa;331900
59577;Direzione Vento Scalare;Maratea Massa;331900
59578;Velocità Vento Scalare;Maratea Massa;331900
59579;Direzione Vento Raffica;Maratea Massa;331900
59580;Velocità Vento Raffica;Maratea Massa;331900
21105;Pioggia Cumulata;Marsico Nuovo;277300
21106;Temperatura Aria;Marsico Nuovo;277300
30473;Umidità Relativa;Marsico Nuovo;277300
46480;Pioggia 1h;Marsico Nuovo;277300
46481;Pioggia 3h;Marsico Nuovo;277300
46482;Pioggia 6h;Marsico Nuovo;277300
46483;Pioggia 12h;Marsico Nuovo;277300
46484;Pioggia 24h;Marsico Nuovo;277300
17314;Livello Freatico;Masseria Cardillo;217800
17315;Radiazione Solare Diretta;Masseria Cardillo;217800
12687;Temperatura Aria;Matera;55000
12688;Pioggia Cumulata;Matera;55000
15559;Pioggia 1h;Matera;55000
15560;Pioggia 3h;Matera;55000
15561;Pioggia 6h;Matera;55000
15562;Pioggia 12h;Matera;55000
15563;Pioggia 24h;Matera;55000
17342;Umidità Relativa;Matera;55000
17344;Pressione Atmosferica;Matera;55000
39234;Incrementi di Pioggia;Melfi;532500
39235;Temperatura Aria;Melfi;532500
51003;Pioggia 1h;Melfi;532500
51004;Pioggia 3h;Melfi;532500
51005;Pioggia 6h;Melfi;532500
51006;Pioggia 12h;Melfi;532500
51007;Pioggia 24h;Melfi;532500
39238;Incrementi di Pioggia;Monte Vulture;532700
51008;Pioggia 1h;Monte Vulture;532700
51009;Pioggia 3h;Monte Vulture;532700
51010;Pioggia 6h;Monte Vulture;532700
51011;Pioggia 12h;Monte Vulture;532700
51012;Pioggia 24h;Monte Vulture;532700
39239;Incrementi di Pioggia;Montemilone;532800
51013;Pioggia 1h;Montemilone;532800
51014;Pioggia 3h;Montemilone;532800
51015;Pioggia 6h;Montemilone;532800
51016;Pioggia 12h;Montemilone;532800
51017;Pioggia 24h;Montemilone;532800
57250;Temperatura Aria;Montemilone;532800
35688;Livello Idrometrico;Montescaglioso;481200
50986;Pioggia Cumulata;Montescaglioso;481200
50987;Intensità di Pioggia;Montescaglioso;481200
50993;Pioggia 1h;Montescaglioso;481200
50994;Pioggia 3h;Montescaglioso;481200
50995;Pioggia 6h;Montescaglioso;481200
50996;Pioggia 12h;Montescaglioso;481200
50997;Pioggia 24h;Montescaglioso;481200
39060;Incrementi di Pioggia;Monticchio Bagni;525000
39061;Temperatura Aria;Monticchio Bagni;525000
51018;Pioggia 1h;Monticchio Bagni;525000
51019;Pioggia 3h;Monticchio Bagni;525000
51020;Pioggia 6h;Monticchio Bagni;525000
51021;Pioggia 12h;Monticchio Bagni;525000
51022;Pioggia 24h;Monticchio Bagni;525000
38540;Pioggia Cumulata;Muro Lucano;513100
51043;Pioggia 1h;Muro Lucano;513100
51044;Pioggia 3h;Muro Lucano;513100
51045;Pioggia 6h;Muro Lucano;513100
51046;Pioggia 12h;Muro Lucano;513100
51047;Pioggia 24h;Muro Lucano;513100
12684;Pioggia Cumulata;Noepoli;54900
12685;Temperatura Aria;Noepoli;54900
15632;Pioggia 1h;Noepoli;54900
15633;Pioggia 3h;Noepoli;54900
15634;Pioggia 6h;Noepoli;54900
15635;Pioggia 12h;Noepoli;54900
15636;Pioggia 24h;Noepoli;54900
50141;Pioggia Cumulata;Ofanto a Monticchio;652800
50143;Intensità di Pioggia;Ofanto a Monticchio;652800
50145;Livello Idrometrico;Ofanto a Monticchio;652800
50213;Pioggia 1h;Ofanto a Monticchio;652800
50214;Pioggia 3h;Ofanto a Monticchio;652800
50215;Pioggia 6h;Ofanto a Monticchio;652800
50216;Pioggia 12h;Ofanto a Monticchio;652800
50217;Pioggia 24h;Ofanto a Monticchio;652800
30382;Pioggia Cumulata;Oppido Lucano;418000
30384;Temperatura Aria;Oppido Lucano;418000
